uses,floor,name,ceiling,width,height,hip,points,ups
1,1,7,2.4,3.64,1.01,0,4,'002460710102450530202460340'
1,1,7,2.4,0.91,4.65,0,4,'002460710102450530202460340'
1,1,23,2.4,3.64,3.74,0,4,'002460710102450530202630380'
1,1,73,2.4,0.91,3.74,0,4,'002460710102450530202460300'
1,1,48,2.4,1.82,0.91,0,4,'002460710102450530202460300'
1,1,8,2.8,2.73,1.51,0,4,'002460710102450570202450130'
1,2,19,2.4,2.73,4.25,0,4,'012640280002640280102631170002630045'
1,2,12,2.4,0.91,2.73,0,4,'002640280012460610102631170112460470'
1,2,32,2.4,4.55,2.73,0,4,'002460720102631170202630350'
1,2,48,2.4,2.73,0.76,0,4,'002460610102460430202460270'
1,2,18,2.4,1.82,0.91,0,4,'002640280102631170202630045'
1,1,75,2.1,1.21,1.82,0,4,'002460600102460430202460200'
1,1,30,2.4,3.64,3.64,0,4,'002640070102631190202630010'
1,1,80,2.2,3.84,8.64,0,4,'102460520202450130'
1,1,81,2.5,2.06,1.15,0,4,'002640070102460470202460300'
1,1,11,2.5,1.82,1.15,0,4,'002640070102460520202630010'
1,1,7,4,5.8,1.85,0,4,'002640070102460520202450130'
1,1,19,2.75,4.8,4.68,0,4,'002640300102631190202630010'
1,1,11,2.4,1.21,1.44,0,4,'002640070102631190202630200'
1,1,29,2.1,1.82,1.82,0.8,4,'002450580102450310302440170202440410'
1,1,59,2.2,3.64,1.1,0,4,'002460610102450310102280200102460470'
1,1,12,4.4,1.88,1.15,0,4,'102460520102460470002460610'
1,1,80,1.95,1.82,4.12,0,4,'202460300102450560102450310102460470'
1,1,83,2.13,1.55,4.12,0,4,'002460700102450560102460380102460520202630010'
1,2,80,2.8,3.84,8.64,0,4,'002460610102460470202460200'
1,2,12,3.45,1.21,1.29,0,4,'102460470002460610'
1,2,46,2.4,10.62,5,0,4,'002460610102460470202630460'
1,2,19,2.4,4.55,3.64,0,4,'002640070102630800202630460'
1,2,19,2.4,3.64,3.64,0,4,'002640070102630800202630460'
1,2,80,2.67,2.73,4.12,0,4,'102450560102460470202460300'
1,1,10,2.36,3.8,5.46,0,4,'002640300102631190202440010202630010'
1,1,14,2.3,1.21,1.17,0,4,'002640300012640050102631190112630760202630010'
1,1,21,1.88,0.91,1.82,0,4,'002460600102460460202630010'
1,1,11,2.3,1.53,1.17,0,4,'002640300102631190202630010'
1,1,7,2.3,3.64,0.89,0,4,'002640300102631190202630010'
1,1,85,2.4,1.82,0.96,0,4,'002460600102460460202460190'
1,1,49,2.4,1.92,5.09,0,4,'002640300102631190202460300'
1,1,12,5.2,0.91,0.91,0,4,'002640300012640050102631190112630760'
1,2,12,2.4,0.91,1.82,0,4,'002640300012640050102631190112630760'
1,2,18,2.35,0.91,1.82,0,4,'002460600102460460202630010'
1,2,21,2.35,0.91,0.91,0,4,'002460600102460460202630010'
1,2,7,2.4,6.51,0.91,0,4,'002640300102631190202630010'
1,2,32,2.45,3.78,3.64,0,4,'002460690102450530202630380'
1,2,44,1.8,0.6,1.82,0,4,'002460650102450530112450120202630010'
1,2,86,0.75,0.6,1.82,0,4,'002460710102450530112450120202460300'
1,2,2,2.4,0.91,1.82,0,4,'002460600102460460202630010'
1,2,21,2.3,0.91,0.91,0,4,'002460600102460460202460190'
1,2,21,2.25,0.81,1.61,0,4,'002460600102460460202630090'
1,2,19,2.33,2.73,4.18,0,4,'202630090002640300102631190'
1,2,18,2.35,2.73,0.91,0,4,'202630090002640300102631190'
1,2,11,2.3,1.82,0.91,0,4,'002640300102631190202630010'
1,2,56,2.52,3.78,0.91,0,4,'002640160102630680202420140202460250'
1,2,21,2.35,0.91,0.91,0,4,'002460600102460460202460190'
1,2,32,2.4,2.73,3.64,0,4,'002460720102450570112450480112450490112450500112450510202630380212460270102450530112450480112450490112450510102450570112450480112450490112450510'
1,1,8,2.64,2.73,1.82,0,4,'002640300012460610102631190112460470202440060212450140'
1,1,46,2.42,3.64,1.82,0,4,'002640300012460610102631190112460470202630010'
1,1,23,2.52,4.55,3.64,0,4,'002460700102450530112450480112450490112450500112450510202630380212460270'
1,1,44,2.5,3.64,0.91,0,4,'002460700102450530112450480112450490112450500112450510202630090'
1,1,83,2.42,0.91,3.64,0,4,'002640300012460610102631190112460470202630010'
1,1,33,2.47,3.64,3.64,0,4,'002460720102450570112450480112450490112450500112450510202630380212460270102450570112450480112450490112450510'
1,1,48,2.4,1.82,0.91,0,4,'002460770102450530112450480112450490112450500112450510202460270102450530112450480112450490112450510'
1,1,21,0.67,1.82,0.91,0,4,'002460600102460470202460230'
1,1,11,2.47,1.365,1.21,0,4,'002450930012640110102631190112460470202440060212450140'
1,2,7,2.45,3.64,0.91,0,4,'002640300012460610102631190112460470202630010'
1,2,19,2.42,3.64,2.73,0,4,'002640300012460610102631190112460470202630010'
1,2,32,2.5,3.64,2.73,0,4,'002460690102450530112450480112450490112450500112450510202630380212460270102450530112450480112450490112450510'
1,2,44,1.95,0.91,0.91,0,4,'002460690102450530112450480112450490112450500112450510202460270102450530112450480112450490112450510'
1,2,32,2.5,3.64,3.64,0,4,'002460690102450530112450480112450490112450500112450510202630380212460270102450530112450480112450490112450510'
1,2,44,1.4,0.91,0.91,0,4,'002640300012460610102450570112450480112450490112450500112450510202460540102450570112450480112450490112450510'
1,2,56,2.2,3.64,0.91,0,4,'002640160102630700'
1,2,32,2.5,3.64,3.64,0,4,'002460720102450570112450480112450490112450500112450510202630380212460270102450570112450480112450490112450510'
1,2,45,2.4,0.91,0.91,0,4,'002640300012460610102450570112450480112450490112450500112450510202460540'
1,1,11,2.4,1.82,1.21,0,4,'002450930012640110102631190112460470202630090'
1,1,7,2.4,3.185,0.91,0,4,'002450930012640110102631190112460470202630090'
1,1,61,2.4,1.82,2.575,0,4,'002450930012640110102631190112460470202630090'
1,1,29,2.46,1.82,2.575,0,4,'002640350102440170112460430112450050112451070112450330202440150212460200212450050212451070212450150'
1,1,26,2.55,0.91,0.91,0,4,'002450580012450040012451060102450930112450300112460180112450050112451070302630860'
1,1,26,2.55,0.91,1.665,0,4,'002450580012450040012451060102450300112460180112450050112451070'
1,2,15,2.4,4.55,2.575,0,4,'202420090'
1,2,11,2.4,1.82,1.365,0,4,'002640300012460610102631190112460470202630090'
1,1,8,2.85,3.64,1.05,0,4,'002460690102450530202450130202630090'
1,1,23,2.45,3.64,3.64,0,4,'002460690102450530202630380'
1,1,30,2.45,3.64,3.73,0,4,'102450560'
1,1,21,2.5,1.82,2.57,0,4,'102450530102450530'
1,1,90,2.55,3.64,3.64,0,4,'002460720102450530202630380'
1,1,90,2.7,3.64,2.73,0,4,'002460720102450530202630380'
1,1,85,1.81,1.82,0.75,0,4,'002460620102460490202460260'
1,1,48,2.27,1.82,0.75,0,4,'002460720102450530202460300'
1,1,83,2.55,1.05,2.73,0,4,'102450530'
1,1,2,2.42,1.05,1.82,0,4,'002460620102460490202460260'
1,1,29,2.4,2.42,2.88,0,4,'102450490'
1,1,30,2.4,2.42,5.46,0,4,'102450490'
1,1,8,3.3,4.55,4.7,0,4,'102450490'
1,1,30,1.9,4.55,3.64,0,4,'102631010'
1,1,23,3.95,4.55,4.55,0,4,'102450570'
1,1,32,2.7,3.64,3.64,0,4,'102450570'
1,1,8,2.55,1.065,1.82,0,4,'102460530102440240112450320202440060212450140002640070002610160'
1,1,90,2.45,2.73,3.64,0,4,'002460700202630380212460270102631190112630760002610160'
1,1,90,2.45,3.64,3.64,0,4,'002460700202630380212460270102631190112630760002610160'
1,1,90,2.4,2.73,3.64,0,4,'102450530112450120002460700202630380212460270'
1,1,27,2.3,0.91,1.365,0,4,'102631190112630760202630130212460200002640160'
1,1,61,2.4,1.82,1.82,0,4,'102460530002640160202630130212460200'
1,1,29,2.3,1.82,1.82,1.15,4,'102450560112450120102440180112460430112450050112451070112450330102460180202440140212450150002640350'
1,1,30,2.4,3.64,3.34,0,4,'102460530102631190112630760102450310202450130202630160212460200002640250'
1,1,97,2.4,0.91,2.275,0,4,'102450530112450120202630090002460700'
1,2,90,2.4,3.64,2.73,0,4,'102450530112450120202630380212460270002460700'
1,2,90,2.4,3.64,2.73,0,4,'002460700102450530112450120202630360212460270'
1,2,7,2.4,3.185,0.91,0,4,'102460530202630010002460700'
3,1,98,2.5,2.275,1.45,0,4,'002640250102631190112630780202630160212460200'
3,1,21,2.4,0.91,0.91,0,4,'002640300012640060002460600102631190112630780102460410202460200202460270'
3,1,26,2.4,2.275,2.73,0,4,'002640300012640060102631190112630780202630460212460200'
3,1,26,2.5,1.82,1.37,0,4,'002640300012640060102631190112630780202630160212460200'
3,1,59,2.5,0.91,2.36,0,4,'002640300012640060102631190112630780202630160212460200'
3,1,61,2.5,1.365,0.91,0,4,'002640250102631190112630780202630160212460200'
3,1,26,2.4,2.73,1.365,0,4,'102460410102630690202460200'
3,1,26,2.4,6.825,1.365,0,4,'202630460212460200102630690'
3,1,59,2.15,1.4,1.365,0,4,'002640250102631190112630780202630160212460200'
3,1,12,2.85,1.4,3.64,0,4,'002640250102631190112630780202630160212460200'
3,2,12,2.4,1.4,3.185,0,4,'002640250102631190112630780202630160212460200'
3,2,8,2.5,1.365,1.365,0,4,'002640300012640060102631190112630780202630160212460200'
3,2,46,2.4,1.365,1.065,0,4,'002640300012640060102631190112630780202630160212460200'
3,2,81,2.4,1.365,0.91,0,4,'002640250102631190112630780202630160212460200'
3,2,27,2.4,1.365,0.91,0,4,'002640250102631190112630780202630160212460200'
3,2,21,2.3,1.82,0.91,0,4,'002460600102460410102631190112630780202460200'
3,3,26,2.4,3.185,2.73,0,4,'002640300012640060102631190112630780202630460212460200'
3,3,2,1.65,1.061,0.91,0,4,'002640300012640060102631190112630780202460200'
3,3,12,2.65,2.124,0.91,0,4,'002640300012640060102631190112630780202630010'
1,1,8,2.85,2.73,1.23,0.15,4,'102460520302440240312450320202440060212450140002640070202460300'
1,1,49,2.5,3.64,1.23,0,4,'002640070102450570112450120202460340'
1,1,23,2.55,2.73,3.64,0,4,'102450530112450120202630380212460270002460690'
1,1,33,2.5,3.64,3.64,0,4,'102450530112450120202630380212460270002460690'
1,1,30,2.45,2.73,2.73,0,4,'102610210112630860202460340002460660'
1,1,28,2.45,0.91,0.91,0,4,'002460660202630010102450400112450120'
1,1,27,2.3,0.91,1.82,1.8,4,'202630010002610210012640110302450570312450120102450400112450120'
1,1,32,2.55,2.73,2.73,0,4,'102450530112450120202630380212460270002460690'
1,1,29,2.05,2.87,1.82,0,4,'102440170112460430112450050112451070112450330202440140212450150202630010002640350102440170112450330'
1,1,73,1.75,0.35,1.82,0,4,'102450530112450120002460690'
1,1,32,2.4,3.64,3.64,0,4,'102450530112450120002460690202630380212460270'
